Index,Lead_2
802,0.4204029304029304
803,0.41843711843711845
804,0.4159096459096459
805,0.4150671550671551
806,0.41815628815628814
807,0.41422466422466425
808,0.41338217338217337
809,0.4128205128205128
810,0.4116971916971917
811,0.4114163614163614
812,0.4114163614163614
813,0.4114163614163614
814,0.4116971916971917
815,0.41562881562881565
816,0.41394383394383394
817,0.41562881562881565
818,0.41478632478632477
819,0.4164713064713065
820,0.4175946275946276
821,0.4175946275946276
822,0.42124542124542125
823,0.4215262515262515
824,0.4232112332112332
825,0.42573870573870576
826,0.42573870573870576
827,0.427985347985348
828,0.42573870573870576
829,0.4263003663003663
830,0.42854700854700856
831,0.4336019536019536
832,0.4375335775335775
833,0.4411843711843712
834,0.44567765567765566
835,0.45045177045177043
836,0.45634920634920634
837,0.4616849816849817
838,0.46730158730158733
839,0.47656898656898655
840,0.4807814407814408
841,0.48808302808302806
842,0.4965079365079365
843,0.5040903540903541
844,0.5024053724053724
845,0.5026862026862027
846,0.4948229548229548
847,0.4894871794871795
848,0.4762881562881563
849,0.4701098901098901
850,0.4588766788766789
851,0.44567765567765566
852,0.4361294261294261
853,0.427985347985348
854,0.4237728937728938
855,0.41675213675213674
856,0.41478632478632477
857,0.40916971916971917
858,0.40832722832722834
859,0.40916971916971917
860,0.40916971916971917
861,0.4057997557997558
862,0.40551892551892554
863,0.40383394383394383
864,0.4057997557997558
865,0.404957264957265
866,0.4035531135531136
867,0.40776556776556777
868,0.40804639804639803
869,0.40551892551892554
870,0.40383394383394383
871,0.4015873015873016
872,0.40186813186813186
873,0.40467643467643466
874,0.4041147741147741
875,0.40383394383394383
876,0.40523809523809523
877,0.402991452991453
878,0.4035531135531136
879,0.40383394383394383
880,0.404957264957265
881,0.4057997557997558
882,0.41001221001221
883,0.40916971916971917
884,0.41562881562881565
885,0.4164713064713065
886,0.4178754578754579
887,0.4206837606837607
888,0.4229304029304029
889,0.42405372405372405
890,0.42264957264957265
891,0.42573870573870576
892,0.4234920634920635
893,0.4251770451770452
894,0.4201221001221001
895,0.4204029304029304
896,0.4223687423687424
897,0.4288278388278388
898,0.45578754578754577
899,0.5229059829059829
900,0.600976800976801
901,0.6680952380952381
902,0.6675335775335776
903,0.5546398046398047
904,0.3926007326007326
905,0.262014652014652
906,0.2342124542124542
907,0.2827960927960928
908,0.3454212454212454
909,0.38670329670329673
910,0.4035531135531136
911,0.41197802197802197
912,0.4159096459096459
913,0.4164713064713065
914,0.4150671550671551
915,0.4178754578754579
916,0.41815628815628814
917,0.4204029304029304
918,0.420964590964591
919,0.4234920634920635
920,0.4215262515262515
921,0.4218070818070818
922,0.4204029304029304
923,0.4229304029304029
924,0.42124542124542125
925,0.4178754578754579
926,0.4173137973137973
927,0.41675213675213674
928,0.4215262515262515
929,0.426019536019536
930,0.42714285714285716
931,0.43275946275946275
932,0.4366910866910867
933,0.4389377289377289
934,0.44343101343101343
935,0.44623931623931623
936,0.4445543345543346
937,0.44652014652014654
938,0.44708180708180706
939,0.4496092796092796
940,0.45045177045177043
941,0.45634920634920634
942,0.45634920634920634
943,0.45915750915750914
944,0.4633699633699634
945,0.4642124542124542
946,0.47095238095238096
947,0.4715140415140415
948,0.47544566544566547
949,0.4821855921855922
950,0.486959706959707
951,0.48892551892551894
952,0.4942612942612943
953,0.49875457875457874
954,0.5083028083028083
955,0.5105494505494506
956,0.5136385836385836
957,0.5144810744810745
958,0.5125152625152625
959,0.5068986568986569
960,0.4979120879120879
961,0.49257631257631257
962,0.48162393162393163
963,0.4720757020757021
964,0.46365079365079365
965,0.45803418803418805
966,0.45017094017094017
967,0.443992673992674
968,0.43725274725274726
969,0.4310744810744811
970,0.427985347985348
971,0.42573870573870576
972,0.4263003663003663
973,0.42405372405372405
974,0.42686202686202684
975,0.4220879120879121
976,0.42405372405372405
977,0.4175946275946276
978,0.41956043956043954
979,0.4178754578754579
980,0.41703296703296705
981,0.41394383394383394
982,0.4136630036630037
983,0.4116971916971917
984,0.4122588522588523
985,0.4145054945054945
986,0.41619047619047617
987,0.41843711843711845
988,0.4175946275946276
989,0.4215262515262515
990,0.42124542124542125
991,0.4215262515262515
992,0.4206837606837607
993,0.4206837606837607
994,0.4187179487179487
995,0.4206837606837607
996,0.4218070818070818
997,0.420964590964591
998,0.42573870573870576
999,0.4229304029304029
1000,0.4229304029304029
1001,0.4229304029304029
1002,0.4232112332112332
1003,0.4248962148962149
1004,0.42826617826617824
1005,0.42826617826617824
1006,0.4274236874236874
1007,0.4310744810744811
1008,0.4274236874236874
1009,0.42826617826617824
1010,0.4251770451770452
1011,0.426019536019536
1012,0.42573870573870576
1013,0.4251770451770452
1014,0.42714285714285716
1015,0.42826617826617824
1016,0.4319169719169719
1017,0.4338827838827839
1018,0.43416361416361415
1019,0.43556776556776555
1020,0.4333211233211233
1021,0.4316361416361416
1022,0.42967032967032964
1023,0.4291086691086691
1024,0.42686202686202684
1025,0.43135531135531135
1026,0.42826617826617824
1027,0.42967032967032964
1028,0.4274236874236874
1029,0.42826617826617824
1030,0.4305128205128205
1031,0.42995115995115996
1032,0.43444444444444447
1033,0.43275946275946275
1034,0.4361294261294261
1035,0.43304029304029307
1036,0.4347252747252747
1037,0.4338827838827839
1038,0.4324786324786325
1039,0.4307936507936508
1040,0.4291086691086691
1041,0.43135531135531135
1042,0.43275946275946275
1043,0.4347252747252747
1044,0.4375335775335775
1045,0.4389377289377289
1046,0.43697191697191695
1047,0.4394993894993895
1048,0.4411843711843712
1049,0.43921855921855923
1050,0.43921855921855923
1051,0.4389377289377289
1052,0.4409035409035409
1053,0.4397802197802198
1054,0.4498901098901099
1055,0.4799389499389499
1056,0.5383516483516484
1057,0.6054700854700855
1058,0.6546153846153846
1059,0.6287789987789988
1060,0.515042735042735
1061,0.36957264957264957
1062,0.2592063492063492
1063,0.24263736263736263
1064,0.2957142857142857
1065,0.36086691086691086
1066,0.4072039072039072
1067,0.4288278388278388
1068,0.4366910866910867
1069,0.43725274725274726
1070,0.4366910866910867
1071,0.43556776556776555
1072,0.4338827838827839
1073,0.43275946275946275
1074,0.43556776556776555
1075,0.4361294261294261
1076,0.4403418803418803
1077,0.4375335775335775
1078,0.4389377289377289
1079,0.44146520146520146
1080,0.443992673992674
1081,0.44652014652014654
1082,0.44567765567765566
1083,0.44567765567765566
1084,0.4423076923076923
1085,0.4431501831501832
1086,0.44792429792429794
1087,0.4496092796092796
1088,0.44932844932844934
