I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-191.0,-418.0,-651.0,-883.0,-1116.0,-1356,-151.0,-377.0,-601.0,-823.0,-1050.0,-1288.0
-191.0,-418.0,-651.0,-883.0,-1115.0,-1356,-152.0,-378.0,-602.0,-825.0,-1047.0,-1288.0
-191.0,-419.0,-651.0,-883.0,-1115.0,-1356,-153.0,-379.0,-602.0,-825.0,-1050.0,-1286.0
-191.0,-419.0,-651.0,-883.0,-1115.0,-1356,-154.0,-380.0,-603.0,-825.0,-1050.0,-1288.0
-191.0,-419.0,-651.0,-883.0,-1115.0,-1357,-155.0,-381.0,-604.0,-825.0,-1051.0,-1288.0
-191.0,-419.0,-651.0,-883.0,-1113.0,-1357,-156.0,-381.0,-605.0,-825.0,-1051.0,-1288.0
-192.0,-419.0,-651.0,-883.0,-1115.0,-1357,-157.0,-382.0,-605.0,-826.0,-1052.0,-1288.0
-192.0,-419.0,-651.0,-883.0,-1115.0,-1357,-158.0,-384.0,-606.0,-826.0,-1052.0,-1289.0
-192.0,-419.0,-651.0,-883.0,-1115.0,-1357,-158.0,-382.0,-608.0,-826.0,-1052.0,-1289.0
-192.0,-420.0,-651.0,-883.0,-1115.0,-1357,-159.0,-381.0,-606.0,-826.0,-1053.0,-1290.0
-192.0,-420.0,-652.0,-883.0,-1115.0,-1357,-161.0,-381.0,-605.0,-826.0,-1053.0,-1291.0
-192.0,-421.0,-652.0,-883.0,-1116.0,-1357,-159.0,-380.0,-604.0,-826.0,-1054.0,-1292.0
-192.0,-421.0,-653.0,-883.0,-1116.0,-1357,-158.0,-379.0,-604.0,-826.0,-1054.0,-1294.0
-192.0,-421.0,-653.0,-883.0,-1116.0,-1357,-157.0,-379.0,-603.0,-827.0,-1055.0,-1295.0
-192.0,-421.0,-654.0,-883.0,-1116.0,-1358,-156.0,-378.0,-603.0,-828.0,-1056.0,-1297.0
-192.0,-421.0,-654.0,-883.0,-1116.0,-1358,-155.0,-379.0,-603.0,-828.0,-1057.0,-1298.0
-193.0,-421.0,-654.0,-883.0,-1116.0,-1358,-154.0,-379.0,-604.0,-829.0,-1057.0,-1300.0
-193.0,-418.0,-654.0,-883.0,-1115.0,-1358,-154.0,-380.0,-605.0,-831.0,-1058.0,-1300.0
-193.0,-420.0,-655.0,-883.0,-1115.0,-1358,-154.0,-381.0,-605.0,-832.0,-1059.0,-1301.0
-193.0,-421.0,-655.0,-883.0,-1115.0,-1358,-154.0,-381.0,-606.0,-833.0,-1060.0,-1301.0
-193.0,-421.0,-655.0,-883.0,-1115.0,-1358,-154.0,-381.0,-608.0,-833.0,-1060.0,-1301.0
-194.0,-421.0,-655.0,-883.0,-1115.0,-1359,-154.0,-382.0,-606.0,-833.0,-1060.0,-1302.0
-194.0,-422.0,-655.0,-883.0,-1115.0,-1359,-154.0,-383.0,-606.0,-836.0,-1060.0,-1302.0
-194.0,-422.0,-655.0,-883.0,-1115.0,-1359,-154.0,-382.0,-605.0,-834.0,-1060.0,-1303.0
-194.0,-422.0,-655.0,-883.0,-1115.0,-1359,-154.0,-381.0,-605.0,-833.0,-1060.0,-1302.0
-194.0,-423.0,-655.0,-883.0,-1115.0,-1360,-154.0,-381.0,-604.0,-832.0,-1060.0,-1302.0
-194.0,-423.0,-655.0,-883.0,-1114.0,-1360,-153.0,-378.0,-601.0,-828.0,-1058.0,-1300.0
-194.0,-423.0,-655.0,-883.0,-1114.0,-1361,-152.0,-374.0,-597.0,-821.0,-1053.0,-1299.0
-194.0,-422.0,-655.0,-883.0,-1114.0,-1360,-148.0,-367.0,-591.0,-816.0,-1046.0,-1295.0
-194.0,-422.0,-655.0,-883.0,-1114.0,-1360,-141.0,-357.0,-577.0,-804.0,-1038.0,-1290.0
-194.0,-422.0,-655.0,-883.0,-1114.0,-1359,-140.0,-348.0,-564.0,-793.0,-1028.0,-1282.0
-194.0,-420.0,-655.0,-883.0,-1114.0,-1359,-134.0,-330.0,-556.0,-784.0,-1009.0,-1272.0
-194.0,-422.0,-656.0,-883.0,-1112.0,-1359,-128.0,-316.0,-512.0,-773.0,-999.0,-1257.0
-194.0,-422.0,-656.0,-883.0,-1114.0,-1359,-117.0,-306.0,-586.0,-765.0,-987.0,-1229.0
-194.0,-422.0,-656.0,-883.0,-1114.0,-1359,-133.0,-300.0,-590.0,-760.0,-973.0,-1213.0
-194.0,-422.0,-656.0,-883.0,-1114.0,-1359,-141.0,-228.0,-582.0,-848.0,-966.0,-1198.0
-194.0,-423.0,-656.0,-883.0,-1114.0,-1359,-195.0,-119.0,-582.0,-841.0,-962.0,-1167.0
-194.0,-423.0,-656.0,-883.0,-1114.0,-1358,-203.0,-203.0,-408.0,-840.0,-811.0,-1134.0
