I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-160.0,-294.0,-429.0,-561.0,-695.0,-829.0,-127,-261,-387,-519,-654,-790
-162.0,-294.0,-430.0,-561.0,-696.0,-830.0,-126,-263,-388,-519,-654,-788
-161.0,-294.0,-430.0,-561.0,-695.0,-830.0,-125,-261,-388,-520,-654,-790
-160.0,-295.0,-432.0,-561.0,-695.0,-830.0,-124,-261,-388,-520,-652,-790
-160.0,-297.0,-430.0,-562.0,-694.0,-830.0,-124,-260,-388,-520,-654,-791
-159.0,-296.0,-430.0,-562.0,-694.0,-830.0,-123,-259,-389,-521,-654,-791
-156.0,-295.0,-430.0,-562.0,-691.0,-831.0,-123,-259,-389,-521,-654,-791
-158.0,-295.0,-429.0,-563.0,-693.0,-830.0,-123,-260,-389,-522,-655,-791
-159.0,-295.0,-429.0,-563.0,-694.0,-830.0,-122,-261,-391,-523,-656,-792
-159.0,-294.0,-429.0,-563.0,-694.0,-830.0,-122,-261,-391,-524,-657,-793
-158.0,-294.0,-429.0,-563.0,-694.0,-830.0,-122,-262,-392,-524,-658,-794
-158.0,-294.0,-429.0,-564.0,-694.0,-830.0,-122,-262,-392,-525,-659,-795
-157.0,-293.0,-428.0,-565.0,-695.0,-829.0,-122,-262,-393,-525,-659,-796
-157.0,-292.0,-427.0,-567.0,-695.0,-828.0,-122,-262,-393,-526,-659,-796
-156.0,-291.0,-425.0,-568.0,-695.0,-827.0,-122,-262,-393,-526,-659,-796
-156.0,-289.0,-424.0,-570.0,-695.0,-825.0,-122,-262,-393,-527,-659,-797
-154.0,-287.0,-418.0,-572.0,-697.0,-823.0,-123,-264,-394,-526,-659,-796
-153.0,-284.0,-421.0,-576.0,-695.0,-821.0,-124,-262,-395,-526,-659,-796
-153.0,-282.0,-423.0,-573.0,-695.0,-816.0,-123,-262,-394,-526,-659,-796
-152.0,-277.0,-425.0,-572.0,-694.0,-819.0,-123,-262,-393,-525,-659,-795
-149.0,-281.0,-426.0,-571.0,-692.0,-820.0,-122,-262,-393,-525,-659,-795
-152.0,-282.0,-428.0,-571.0,-691.0,-822.0,-122,-262,-393,-525,-659,-795
-153.0,-283.0,-430.0,-569.0,-687.0,-823.0,-121,-262,-393,-525,-659,-795
-154.0,-285.0,-432.0,-568.0,-690.0,-825.0,-119,-261,-393,-526,-659,-795
-155.0,-287.0,-430.0,-566.0,-691.0,-827.0,-118,-259,-396,-526,-660,-796
-158.0,-288.0,-429.0,-565.0,-693.0,-827.0,-117,-257,-393,-529,-664,-797
-159.0,-290.0,-429.0,-563.0,-694.0,-828.0,-117,-252,-388,-525,-661,-800
-162.0,-292.0,-431.0,-562.0,-694.0,-829.0,-123,-248,-375,-517,-659,-797
-160.0,-294.0,-432.0,-561.0,-694.0,-830.0,-128,-241,-360,-498,-648,-793
-159.0,-295.0,-434.0,-561.0,-693.0,-831.0,-133,-236,-349,-487,-629,-777
-159.0,-297.0,-435.0,-561.0,-691.0,-833.0,-139,-223,-336,-474,-618,-766
-159.0,-298.0,-438.0,-560.0,-689.0,-834.0,-150,-232,-303,-461,-610,-758
-160.0,-298.0,-435.0,-560.0,-691.0,-835.0,-139,-239,-335,-430,-571,-748
-161.0,-299.0,-434.0,-559.0,-692.0,-835.0,-137,-249,-350,-474,-596,-722
-162.0,-300.0,-434.0,-559.0,-692.0,-835.0,-132,-259,-373,-491,-616,-752
-161.0,-300.0,-434.0,-559.0,-692.0,-835.0,-127,-268,-392,-512,-632,-767
-161.0,-300.0,-434.0,-558.0,-692.0,-835.0,-123,-277,-411,-534,-653,-780
-160.0,-300.0,-435.0,-556.0,-692.0,-835.0,-121,-290,-420,-549,-669,-794
-160.0,-300.0,-436.0,-558.0,-691.0,-835.0,-119,-280,-438,-570,-681,-809
-158.0,-301.0,-437.0,-559.0,-690.0,-836.0,-119,-276,-421,-555,-697,-823
-154.0,-301.0,-440.0,-560.0,-687.0,-837.0,-120,-271,-413,-548,-680,-813
-157.0,-303.0,-438.0,-561.0,-689.0,-839.0,-120,-268,-407,-542,-675,-809
-159.0,-301.0,-437.0,-559.0,-690.0,-837.0,-121,-266,-402,-537,-671,-805
-160.0,-301.0,-435.0,-558.0,-691.0,-837.0,-121,-264,-398,-532,-666,-801
-162.0,-300.0,-434.0,-553.0,-692.0,-836.0,-121,-263,-397,-530,-664,-799
-167.0,-301.0,-431.0,-557.0,-694.0,-836.0,-121,-263,-396,-529,-663,-798
-161.0,-303.0,-430.0,-560.0,-693.0,-834.0,-121,-263,-396,-528,-662,-797
-151.0,-301.0,-433.0,-566.0,-688.0,-833.0,-123,-263,-396,-528,-662,-797
-140.0,-300.0,-438.0,-572.0,-682.0,-832.0,-121,-263,-396,-528,-662,-796
-133.0,-298.0,-444.0,-577.0,-673.0,-832.0,-121,-263,-396,-528,-662,-796
-102.0,-294.0,-455.0,-583.0,-664.0,-834.0,-121,-263,-396,-527,-661,-796
-128.0,-291.0,-466.0,-594.0,-655.0,-838.0,-121,-263,-395,-527,-661,-796
-102.0,-281.0,-475.0,-575.0,-637.0,-844.0,-121,-263,-395,-527,-661,-796
-132.0,-290.0,-482.0,-566.0,-648.0,-853.0,-121,-263,-395,-527,-661,-795
-139.0,-299.0,-495.0,-561.0,-653.0,-859.0,-121,-263,-395,-527,-660,-795
-150.0,-308.0,-479.0,-553.0,-661.0,-866.0,-121,-263,-395,-527,-660,-795
-162.0,-316.0,-471.0,-533.0,-671.0,-883.0,-121,-262,-395,-527,-660,-795
-175.0,-327.0,-463.0,-541.0,-678.0,-871.0,-121,-262,-395,-528,-660,-794
-168.0,-344.0,-453.0,-544.0,-683.0,-867.0,-121,-262,-395,-528,-660,-794
-166.0,-333.0,-446.0,-547.0,-689.0,-860.0,-121,-262,-395,-529,-660,-794
-163.0,-326.0,-441.0,-551.0,-692.0,-853.0,-121,-262,-395,-529,-660,-794
-161.0,-320.0,-437.0,-555.0,-691.0,-846.0,-121,-261,-395,-530,-660,-794
-160.0,-313.0,-436.0,-557.0,-691.0,-842.0,-121,-261,-394,-529,-660,-794
-159.0,-307.0,-435.0,-560.0,-691.0,-838.0,-121,-261,-394,-529,-660,-794
-158.0,-303.0,-434.0,-560.0,-690.0,-836.0,-123,-260,-394,-528,-660,-793
-158.0,-301.0,-434.0,-561.0,-690.0,-835.0,-121,-260,-393,-528,-659,-793
-157.0,-299.0,-436.0,-561.0,-690.0,-835.0,-121,-259,-392,-527,-659,-793
-157.0,-298.0,-435.0,-561.0,-690.0,-834.0,-121,-258,-391,-526,-658,-792
-157.0,-298.0,-434.0,-561.0,-690.0,-834.0,-121,-257,-390,-525,-657,-792
-157.0,-298.0,-434.0,-561.0,-690.0,-834.0,-121,-257,-390,-524,-657,-791
-157.0,-297.0,-435.0,-561.0,-690.0,-833.0,-121,-257,-389,-524,-656,-791
-157.0,-297.0,-435.0,-561.0,-690.0,-834.0,-121,-257,-388,-523,-656,-790
-156.0,-298.0,-437.0,-561.0,-689.0,-834.0,-121,-256,-387,-522,-655,-789
-155.0,-301.0,-435.0,-562.0,-689.0,-837.0,-121,-256,-386,-522,-654,-789
-154.0,-298.0,-435.0,-563.0,-689.0,-834.0,-121,-256,-386,-521,-654,-788
-152.0,-297.0,-434.0,-566.0,-687.0,-834.0,-121,-256,-385,-520,-653,-787
-154.0,-295.0,-434.0,-564.0,-689.0,-833.0,-120,-256,-384,-519,-652,-787
-155.0,-295.0,-434.0,-563.0,-689.0,-832.0,-120,-256,-383,-518,-651,-786
-156.0,-294.0,-434.0,-563.0,-689.0,-832.0,-119,-255,-382,-517,-650,-785
-157.0,-294.0,-433.0,-562.0,-690.0,-832.0,-119,-255,-382,-517,-649,-784
-158.0,-294.0,-432.0,-561.0,-691.0,-832.0,-119,-255,-382,-517,-649,-784
-159.0,-296.0,-431.0,-562.0,-692.0,-831.0,-117,-255,-382,-516,-649,-784
-158.0,-295.0,-431.0,-562.0,-693.0,-831.0,-119,-254,-380,-516,-649,-783
-157.0,-294.0,-430.0,-563.0,-693.0,-830.0,-119,-254,-382,-516,-647,-781
-157.0,-294.0,-430.0,-563.0,-692.0,-829.0,-119,-252,-382,-514,-649,-783
-156.0,-294.0,-430.0,-563.0,-691.0,-829.0,-119,-254,-382,-516,-649,-783
-156.0,-293.0,-429.0,-564.0,-689.0,-829.0,-120,-254,-382,-516,-649,-784
-155.0,-293.0,-429.0,-564.0,-691.0,-829.0,-120,-254,-382,-516,-649,-784
-153.0,-292.0,-428.0,-565.0,-692.0,-829.0,-121,-255,-383,-517,-650,-784
-155.0,-291.0,-428.0,-565.0,-692.0,-828.0,-121,-255,-384,-518,-650,-785
-155.0,-290.0,-426.0,-566.0,-693.0,-827.0,-122,-255,-385,-519,-652,-785
-156.0,-289.0,-424.0,-567.0,-694.0,-826.0,-122,-256,-386,-520,-652,-786
-157.0,-288.0,-422.0,-567.0,-695.0,-824.0,-122,-256,-387,-521,-653,-786
-158.0,-286.0,-420.0,-568.0,-696.0,-823.0,-122,-256,-389,-522,-654,-787
-158.0,-285.0,-418.0,-569.0,-697.0,-821.0,-122,-257,-389,-523,-654,-788
-158.0,-284.0,-416.0,-570.0,-698.0,-819.0,-122,-257,-389,-523,-655,-788
-158.0,-281.0,-415.0,-570.0,-699.0,-817.0,-122,-258,-390,-524,-656,-789
-159.0,-280.0,-414.0,-570.0,-700.0,-815.0,-122,-258,-391,-524,-656,-789
-159.0,-279.0,-412.0,-570.0,-701.0,-814.0,-122,-258,-391,-525,-657,-790
-159.0,-278.0,-410.0,-570.0,-704.0,-813.0,-122,-258,-391,-525,-657,-790
-159.0,-277.0,-412.0,-571.0,-702.0,-813.0,-122,-258,-391,-526,-657,-791
-157.0,-277.0,-413.0,-571.0,-701.0,-813.0,-122,-259,-391,-526,-658,-791
-156.0,-277.0,-413.0,-572.0,-701.0,-812.0,-122,-260,-392,-526,-658,-791
-156.0,-276.0,-413.0,-573.0,-700.0,-812.0,-122,-259,-391,-528,-658,-791
-155.0,-275.0,-413.0,-574.0,-699.0,-810.0,-122,-258,-391,-527,-658,-791
-154.0,-275.0,-414.0,-577.0,-698.0,-812.0,-122,-258,-391,-526,-658,-791
-153.0,-274.0,-415.0,-575.0,-698.0,-812.0,-122,-258,-391,-526,-658,-791
-151.0,-271.0,-416.0,-574.0,-697.0,-812.0,-122,-257,-391,-526,-658,-791
-153.0,-274.0,-418.0,-573.0,-696.0,-813.0,-122,-257,-390,-525,-658,-791
-154.0,-275.0,-419.0,-572.0,-695.0,-815.0,-122,-256,-390,-525,-657,-791
-155.0,-277.0,-420.0,-571.0,-695.0,-816.0,-122,-256,-390,-524,-657,-791
-155.0,-279.0,-421.0,-570.0,-695.0,-818.0,-122,-256,-390,-524,-657,-791
-154.0,-280.0,-423.0,-569.0,-694.0,-819.0,-122,-256,-390,-524,-657,-791
-154.0,-282.0,-424.0,-569.0,-694.0,-820.0,-122,-256,-389,-524,-657,-791
-151.0,-283.0,-425.0,-569.0,-694.0,-821.0,-122,-256,-389,-523,-657,-791
-153.0,-283.0,-426.0,-569.0,-693.0,-822.0,-122,-256,-387,-523,-656,-791
-154.0,-284.0,-426.0,-568.0,-690.0,-823.0,-122,-256,-389,-522,-654,-790
-155.0,-285.0,-426.0,-567.0,-693.0,-823.0,-122,-256,-389,-523,-656,-788
-156.0,-286.0,-427.0,-566.0,-694.0,-824.0,-122,-256,-390,-523,-656,-790
-157.0,-287.0,-427.0,-565.0,-694.0,-824.0,-122,-256,-390,-523,-657,-791
-157.0,-288.0,-427.0,-565.0,-694.0,-825.0,-122,-256,-390,-524,-657,-791
-156.0,-289.0,-427.0,-566.0,-694.0,-825.0,-122,-257,-390,-524,-657,-791
-154.0,-289.0,-427.0,-568.0,-693.0,-826.0,-122,-257,-390,-524,-657,-791
-150.0,-288.0,-427.0,-572.0,-693.0,-826.0,-123,-257,-390,-524,-657,-791
-154.0,-287.0,-428.0,-568.0,-689.0,-823.0,-123,-257,-390,-525,-657,-791
-155.0,-283.0,-429.0,-567.0,-693.0,-825.0,-123,-257,-391,-525,-657,-791
-156.0,-287.0,-428.0,-566.0,-693.0,-826.0,-123,-257,-391,-525,-657,-791
-157.0,-288.0,-427.0,-565.0,-694.0,-827.0,-124,-257,-391,-525,-657,-791
-157.0,-290.0,-427.0,-566.0,-694.0,-827.0,-123,-258,-391,-526,-657,-791
-156.0,-291.0,-426.0,-566.0,-695.0,-826.0,-123,-258,-392,-526,-657,-791
-155.0,-289.0,-425.0,-567.0,-695.0,-825.0,-123,-260,-394,-526,-658,-791
