aVR,aVL,aVF,V4,V5,V6,V1,V2,V3,I,II,III
-136.0,-309.0,-477,-169.0,-321.0,-489.0,-133.0,-309.0,-485.0,-134.0,-308.0,-488.0
-135.0,-309.0,-476,-162.0,-319.0,-487.0,-133.0,-309.0,-485.0,-134.0,-308.0,-487.0
-134.0,-309.0,-477,-156.0,-316.0,-485.0,-133.0,-307.0,-486.0,-134.0,-307.0,-486.0
-134.0,-309.0,-477,-149.0,-314.0,-485.0,-133.0,-303.0,-485.0,-134.0,-306.0,-486.0
-134.0,-309.0,-477,-145.0,-311.0,-484.0,-133.0,-296.0,-485.0,-134.0,-305.0,-486.0
-134.0,-309.0,-478,-141.0,-310.0,-484.0,-132.0,-287.0,-484.0,-134.0,-304.0,-485.0
-134.0,-309.0,-478,-138.0,-309.0,-484.0,-132.0,-271.0,-484.0,-134.0,-304.0,-485.0
-134.0,-308.0,-479,-136.0,-309.0,-484.0,-132.0,-282.0,-483.0,-135.0,-303.0,-485.0
-133.0,-306.0,-480,-136.0,-309.0,-484.0,-132.0,-289.0,-483.0,-135.0,-302.0,-485.0
-133.0,-308.0,-480,-136.0,-309.0,-484.0,-132.0,-295.0,-483.0,-136.0,-302.0,-485.0
-133.0,-308.0,-481,-136.0,-309.0,-484.0,-133.0,-307.0,-484.0,-135.0,-301.0,-485.0
-132.0,-309.0,-481,-136.0,-309.0,-484.0,-133.0,-313.0,-484.0,-135.0,-301.0,-484.0
-130.0,-309.0,-481,-136.0,-309.0,-484.0,-135.0,-309.0,-485.0,-135.0,-298.0,-483.0
-132.0,-309.0,-481,-137.0,-309.0,-484.0,-133.0,-306.0,-486.0,-134.0,-300.0,-483.0
-132.0,-309.0,-482,-137.0,-310.0,-484.0,-133.0,-304.0,-485.0,-134.0,-301.0,-482.0
-133.0,-308.0,-483,-137.0,-310.0,-484.0,-133.0,-299.0,-484.0,-134.0,-302.0,-482.0
-133.0,-308.0,-484,-138.0,-311.0,-484.0,-132.0,-303.0,-484.0,-134.0,-302.0,-481.0
-134.0,-305.0,-485,-139.0,-312.0,-483.0,-132.0,-305.0,-484.0,-134.0,-303.0,-480.0
-133.0,-307.0,-485,-140.0,-312.0,-483.0,-132.0,-307.0,-484.0,-134.0,-304.0,-479.0
-133.0,-308.0,-485,-141.0,-313.0,-482.0,-132.0,-310.0,-485.0,-134.0,-304.0,-479.0
-130.0,-309.0,-485,-142.0,-313.0,-482.0,-132.0,-312.0,-486.0,-134.0,-305.0,-478.0
-132.0,-309.0,-486,-144.0,-313.0,-482.0,-131.0,-314.0,-485.0,-133.0,-306.0,-478.0
-133.0,-310.0,-486,-145.0,-313.0,-481.0,-130.0,-315.0,-482.0,-133.0,-307.0,-478.0
-133.0,-310.0,-486,-146.0,-314.0,-480.0,-128.0,-316.0,-478.0,-135.0,-307.0,-478.0
-133.0,-311.0,-486,-147.0,-315.0,-479.0,-125.0,-318.0,-467.0,-134.0,-307.0,-476.0
-133.0,-312.0,-486,-148.0,-314.0,-478.0,-122.0,-319.0,-457.0,-133.0,-308.0,-478.0
-133.0,-311.0,-486,-149.0,-313.0,-478.0,-119.0,-320.0,-434.0,-133.0,-308.0,-478.0
-133.0,-310.0,-486,-151.0,-312.0,-478.0,-115.0,-321.0,-457.0,-133.0,-309.0,-479.0
-133.0,-310.0,-486,-149.0,-311.0,-478.0,-113.0,-323.0,-469.0,-133.0,-309.0,-480.0
-134.0,-310.0,-486,-148.0,-310.0,-477.0,-112.0,-324.0,-482.0,-130.0,-309.0,-480.0
-134.0,-309.0,-486,-147.0,-309.0,-476.0,-110.0,-326.0,-506.0,-132.0,-309.0,-482.0
-134.0,-308.0,-486,-146.0,-308.0,-477.0,-107.0,-327.0,-521.0,-133.0,-309.0,-483.0
-134.0,-308.0,-486,-144.0,-307.0,-477.0,-104.0,-330.0,-510.0,-133.0,-310.0,-484.0
-136.0,-307.0,-486,-143.0,-306.0,-478.0,-100.0,-332.0,-505.0,-133.0,-310.0,-484.0
-137.0,-305.0,-486,-141.0,-305.0,-478.0,-93.0,-336.0,-498.0,-132.0,-310.0,-484.0
-140.0,-307.0,-487,-139.0,-304.0,-478.0,-98.0,-339.0,-494.0,-130.0,-310.0,-485.0
-137.0,-308.0,-488,-137.0,-304.0,-479.0,-107.0,-342.0,-491.0,-132.0,-310.0,-485.0
-136.0,-308.0,-487,-135.0,-303.0,-479.0,-114.0,-346.0,-489.0,-133.0,-310.0,-485.0
-134.0,-309.0,-487,-133.0,-302.0,-480.0,-121.0,-349.0,-489.0,-133.0,-310.0,-485.0
-133.0,-309.0,-486,-131.0,-302.0,-480.0,-129.0,-351.0,-489.0,-133.0,-310.0,-485.0
